  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:24 pm AST

Well Name,Basin,Subbasin,Latitude (NAD27),Longitude (NAD27),Northing (NAD27),Easting (NAD27),Latitude (NAD83),Longitude (NAD83),Northing (NAD83),Easting (NAD83),Zone (UTM)
HIBERNIA B-16 17,JEANNE D'ARC BASIN,,,,,,46.750396,-48.781617,5179817,669435,22
HIBERNIA B-16 17Z,JEANNE D'ARC BASIN,,,,,,46.750396,-48.781617,5179817,669435,22
HIBERNIA B-16 18,JEANNE D'ARC BASIN,,,,,,46.750333,-48.781478,5179810,669446,22
HIBERNIA B-16 19,JEANNE D'ARC BASIN,,,,,,46.750514,-48.781883,5179829,669414,22
HIBERNIA B-16 19Z,JEANNE D'ARC BASIN,,,,,,46.750514,-48.781883,5179829,669414,22
HIBERNIA B-16 2,JEANNE D'ARC BASIN,,46.750666,-48.782866,5179626,669344,46.750578,-48.78179,5179837,669421,22
HIBERNIA B-16 20,JEANNE D'ARC BASIN,,,,,,46.750531,-48.781813,5179831,669420,22
HIBERNIA B-16 20V,JEANNE D'ARC BASIN,,46.750619,-48.782891,5179621,669342,46.750531,-48.781814,5179831,669420,22
HIBERNIA B-16 20W,JEANNE D'ARC BASIN,,46.750619,-48.782891,5179621,669342,46.750531,-48.781814,5179831,669420,22
HIBERNIA B-16 20X,JEANNE D'ARC BASIN,,46.750619,-48.782891,5179621,669342,46.750531,-48.781814,5179831,669420,22
HIBERNIA B-16 20Y,JEANNE D'ARC BASIN,,,,,,46.750531,-48.781813,5179831,669420,22
HIBERNIA B-16 20Z,JEANNE D'ARC BASIN,,,,,,46.750531,-48.781813,5179831,669420,22
HIBERNIA B-16 21,JEANNE D'ARC BASIN,,,,,,46.750578,-48.781837,5179837,669418,22
HIBERNIA B-16 21X,JEANNE D'ARC BASIN,,,,,,46.750578,-48.781837,5179837,669418,22
HIBERNIA B-16 21Y,JEANNE D'ARC BASIN,,,,,,46.750578,-48.781836,5179837,669418,22
HIBERNIA B-16 21Z,JEANNE D'ARC BASIN,,,,,,46.750578,-48.781837,5179837,669418,22
HIBERNIA B-16 22,JEANNE D'ARC BASIN,,,,,,46.750317,-48.781547,5179808,669441,22
HIBERNIA B-16 22Z,JEANNE D'ARC BASIN,,,,,,46.750317,-48.781547,5179808,669441,22
HIBERNIA B-16 23,JEANNE D'ARC BASIN,,,,,,46.750578,-48.781883,5179837,669414,22
HIBERNIA B-16 24,JEANNE D'ARC BASIN,,,,,,46.75035,-48.781594,5179812,669437,22
HIBERNIA B-16 24Z,JEANNE D'ARC BASIN,,,,,,46.75035,-48.781594,5179812,669437,22
HIBERNIA B-16 25,JEANNE D'ARC BASIN,,,,,,46.750499,-48.781859,5179828,669416,22
HIBERNIA B-16 25W,JEANNE D'ARC BASIN,,,,,,46.7505,-48.781858,5179828,669416,22
HIBERNIA B-16 25X,JEANNE D'ARC BASIN,,,,,,46.750499,-48.781859,5179828,669416,22
HIBERNIA B-16 25Y,JEANNE D'ARC BASIN,,,,,,46.750499,-48.781859,5179828,669416,22
HIBERNIA B-16 25Z,JEANNE D'ARC BASIN,,,,,,46.750499,-48.781859,5179828,669416,22
HIBERNIA B-16 26,JEANNE D'ARC BASIN,,,,,,46.750396,-48.781524,5179817,669442,22
HIBERNIA B-16 27,JEANNE D'ARC BASIN,,,,,,46.750594,-48.781814,5179838,669419,22
HIBERNIA B-16 28,JEANNE D'ARC BASIN,,,,,,46.750626,-48.78186,5179842,669416,22
HIBERNIA B-16 28Z,JEANNE D'ARC BASIN,,,,,,46.750625,-48.781861,5179842,669416,22
HIBERNIA B-16 29,JEANNE D'ARC BASIN,,,,,,46.750413,-48.781501,5179819,669444,22
HIBERNIA B-16 3,JEANNE D'ARC BASIN,,46.750633,-48.782958,5179622,669337,46.750546,-48.781883,5179833,669414,22
HIBERNIA B-16 30,JEANNE D'ARC BASIN,,,,,,46.750333,-48.781524,5179810,669442,22
HIBERNIA B-16 30Y,JEANNE D'ARC BASIN,,,,,,46.750331,-48.781522,5179810,669443,22
HIBERNIA B-16 30Z,JEANNE D'ARC BASIN,,,,,,46.750333,-48.781524,5179810,669442,22
HIBERNIA B-16 31,JEANNE D'ARC BASIN,,,,,,46.750515,-48.781836,5179830,669418,22
HIBERNIA B-16 32,JEANNE D'ARC BASIN,,,,,,46.750531,-48.781911,5179831,669412,22
HIBERNIA B-16 32Y,JEANNE D'ARC BASIN,,,,,,46.750531,-48.781906,5179831,669413,22
HIBERNIA B-16 32Z,JEANNE D'ARC BASIN,,,,,,46.750531,-48.781906,5179831,669413,22
HIBERNIA B-16 33,JEANNE D'ARC BASIN,,,,,,46.750531,-48.781767,5179832,669423,22
HIBERNIA B-16 34,JEANNE D'ARC BASIN,,,,,,46.750317,-48.781501,5179808,669444,22
HIBERNIA B-16 34Y,JEANNE D'ARC BASIN,,,,,,46.750317,-48.7815,5179808,669444,22
HIBERNIA B-16 34Z,JEANNE D'ARC BASIN,,,,,,46.750317,-48.7815,5179808,669444,22
HIBERNIA B-16 35,JEANNE D'ARC BASIN,,,,,,46.750561,-48.781861,5179835,669416,22
HIBERNIA B-16 35Z,JEANNE D'ARC BASIN,,,,,,46.750561,-48.781861,5179835,669416,22
HIBERNIA B-16 36,JEANNE D'ARC BASIN,,,,,,46.750364,-48.781525,5179813,669442,22
HIBERNIA B-16 36Z,JEANNE D'ARC BASIN,,,,,,46.750364,-48.781525,5179813,669442,22
