  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:05 pm AST

Well Name,GSC #,Unique Well Identifier,Original Spud Year,Operator,Area,Basin,Status
HEBRON L-93 17,N485,317 L93 46400 48150,2020,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 18,N487,318 L93 46400 48150,2020,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 19,N493,319 L93 46400 48150,2020,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 2,N445,302 L93 46400 48150,2017,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 20,N490,320 L93 46400 48150,2020,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 21,N491,321 L93 46400 48150,2020,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
HEBRON L-93 22,N496,322 L93 46400 48150,2020,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,
HEBRON L-93 23,N497,323 L93 46400 48150,2020,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 3,N448,303 L93 46400 48150,2017,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 4,N451,304 L93 46400 48150,2018,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
HEBRON L-93 4Z,N455,304 L93 46400 48151,2018,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 5,N458,305 L93 46400 48150,2018,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
HEBRON L-93 6,N463,306 L93 46400 48150,2018,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
HEBRON L-93 7,N465,307 L93 46400 48150,2018,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON L-93 8,N466,308 L93 46400 48150,2018,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,INJEC
HEBRON L-93 9,N468,309 L93 46400 48150,2018,EXXONMOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,PROD
HEBRON M-04,N181,300 M04 46400 48300,2000,CHEVRON ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
HERMINE E-94,D038,300 E94 45300 54150,1971,ELF,Grand Banks,SCOTIAN BASIN,P&A
HERON H-73,D082,300 H73 44100 52150,1972,AMOCO-IMPERIAL,Grand Banks,SCOTIAN BASIN,P&A
